Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-8.0754E-19,0.00127,-8.6736E-19,0,0,0,0.00043835,6.1275E-09,1.9803E-26,-8.1778E-25,1.1784E-08,0,6.1275E-09,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/base_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body,0.054702,0.046613,0.11825,0,0,0,1.1876,0.0018536,0.00010163,-1.9771E-07,0.0071097,-4.4693E-07,0.0062115,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/body.STL,,body-1,Origin_base_joint,,base_joint,fixed,-0.04859,0.11829,0.013453,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
upperleg_fl,0.024758,-0.02325,0.024007,0,0,0,0.064696,1.8133E-05,-6.9112E-12,-2.6043E-06,1.4023E-05,7.9351E-12,1.8293E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_fl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_fl.STL,,upperleg_front-1,Origin_hip_fl,Axis_hip_fl,hip_fl,revolute,0.13334,-0.048413,0.13763,-1.5708,0,-2.3382,body,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_fl,-4.9993E-09,-0.02325,0.036463,0,0,0,0.074855,3.3795E-05,-9.212E-11,-3.9082E-12,2.3514E-05,-4.2372E-12,2.0453E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_fl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_fl.STL,,lowerleg-2,Origin_knee_fl,Axis_knee_fl,knee_fl,revolute,0.039486,0,0.038287,0,0.81927,0,upperleg_fl,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_fr,0.024758,0.02325,0.024007,0,0,0,0.064696,1.8133E-05,-6.9111E-12,-2.6043E-06,1.4023E-05,7.9349E-12,1.8293E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_fr.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_fr.STL,,upperleg_front-2,Origin_hip_fr,Axis_hip_fr,hip_fr,revolute,0.13334,-0.048413,0.052443,1.5708,0,-0.80381,body,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_fr,-4.552E-09,0.02325,0.036463,0,0,0,0.074855,3.3795E-05,-9.2158E-11,-3.5484E-12,2.3514E-05,-4.8747E-12,2.0453E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_fr.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_fr.STL,,lowerleg-1,Origin_knee_fr,Axis_knee_fr,knee_fr,revolute,0.039486,0,0.038287,0,0.79665,0,upperleg_fr,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_bl,-0.009763,0.02325,0.034253,0,0,0,0.061349,1.8859E-05,-5.5679E-13,1.3721E-06,1.2908E-05,1.1462E-11,1.4366E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_bl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_bl.STL,,upperleg_back-1,Origin_hip_fl2,Axis_hip_fl2,hip_fl,revolute,-0.036159,-0.048413,0.15254,1.5708,0,0.28437,body,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_bl,-4.9664E-09,-0.02325,0.036463,0,0,0,0.074855,3.3795E-05,-9.2123E-11,-3.8796E-12,2.3514E-05,-4.289E-12,2.0453E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_bl.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_bl.STL,,lowerleg-3,Origin_knee_bl,Axis_knee_bl,knee_bl,revolute,-0.015108,0,0.052884,0,0.30565,-3.1416,upperleg_bl,0,1,0,0,0,-1.57,1.57,,,,,,,,
upperleg_br,-0.009763,-0.02325,0.034253,0,0,0,0.061349,1.8859E-05,-5.5571E-13,1.3721E-06,1.2908E-05,1.146E-11,1.4366E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_br.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/upperleg_br.STL,,upperleg_back-2,Origin_hip_br,Axis_hip_br,hip_br,revolute,-0.036159,-0.048413,0.037536,-1.5708,0,2.8638,body,0,1,0,0,0,-1.57,1.57,,,,,,,,
lowerleg_br,-4.7344E-09,0.02325,0.036463,0,0,0,0.074855,3.3795E-05,-9.2121E-11,-3.6922E-12,2.3514E-05,-4.621E-12,2.0453E-05,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_br.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cat_model.SLDASM/meshes/lowerleg_br.STL,,lowerleg-4,Origin_knee_br,Axis_knee_br,knee_br,revolute,-0.015108,0,0.052884,0,0.27827,-3.1416,upperleg_br,0,1,0,0,0,-1.57,1.57,,,,,,,,
